Usuario,Pergunta,Correta
paoulan,Qual das alternativas representa uma boa prática de cibersegurança?,1
gabriel.chato,Qual das alternativas representa uma boa prática de cibersegurança?,1
gabriel.chato,O que é considerado comportamento ético no ambiente digital?,0
gabriel.chato,Qual das ações a seguir mais contribui para a sustentabilidade digital?,0
gabriel.chato,Qual direito humano fundamental está diretamente relacionado à liberdade de expressão?,0
gabriel.chato,O que a LGPD estabelece sobre o tratamento de dados pessoais?,0
hyunevi,Qual das alternativas representa uma boa prática de cibersegurança?,1
hyunevi,O que é considerado comportamento ético no ambiente digital?,1
hyunevi,Qual das ações a seguir mais contribui para a sustentabilidade digital?,1
paola.legal,Qual das alternativas representa uma boa prática de cibersegurança?,1
paola.legal,O que é considerado comportamento ético no ambiente digital?,1
paola.legal,Qual das ações a seguir mais contribui para a sustentabilidade digital?,1
paola.legal,Qual direito humano fundamental está diretamente relacionado à liberdade de expressão?,1
paola.legal,O que a LGPD estabelece sobre o tratamento de dados pessoais?,1
fernanda.m,Qual das alternativas representa uma boa prática de cibersegurança?,0
fernanda.m,O que é considerado comportamento ético no ambiente digital?,1
fernanda.m,Qual das ações a seguir mais contribui para a sustentabilidade digital?,1
fernanda.m,Qual direito humano fundamental está diretamente relacionado à liberdade de expressão?,1
fernanda.m,O que a LGPD estabelece sobre o tratamento de dados pessoais?,0
